encoding,PR-AUC,Precision,Recall,F1,train_seconds,n_features_out,encoder_backend
one_hot,0.8628,0.8177,0.7653,0.7906,1.432,79,OneHotEncoder
catboost_encoder_ids,0.8628,0.8107,0.7653,0.7874,1.389,33,CatBoostStyleEncoder
